Chemical A Dosage (ml),Chemical B Dosage (ml),Test Success
438.0, 10.44, 0
427.8, 9.879999999999999, 0
446.2, 9.47, 0
453.0, 10.58, 0
483.40000000000003, 11.36, 0
472.2, 10.1, 0
472.2, 10.99, 0
464.6, 11.379999999999999, 0
456.8, 11.55, 0
445.6, 11.120000000000001, 0
450.4, 10.17, 0
465.4, 10.83, 0
461.59999999999997, 10.29, 0
457.0, 10.71, 0
456.4, 10.43, 0
461.4, 10.58, 0
458.40000000000003, 10.58, 0
459.4, 10.83, 0
461.59999999999997, 11.02, 0
456.0, 11.0, 0
447.8, 10.72, 0
445.4, 10.42, 0
451.0, 10.41, 0
446.0, 9.78, 0
457.0, 9.96, 0
454.6, 10.2, 0
432.40000000000003, 9.35, 0
430.0, 11.0, 0
424.0, 10.61, 0
406.0, 10.52, 0
416.8, 11.39, 0
419.79999999999995, 8.63, 0
403.6, 8.81, 0
504.0, 11.27, 0
510.6, 12.51, 0
481.8, 12.51, 0
471.0, 9.41, 0
461.8, 12.6, 0
452.8, 8.93, 0
440.0, 10.0, 0
440.0, 11.0, 0
451.8, 11.27, 0
448.2, 11.58, 0
464.4, 11.73, 0
460.79999999999995, 11.46, 0
449.80000000000007, 10.99, 0
444.0, 10.74, 0
449.20000000000005, 10.52, 0
452.0, 10.8, 0
444.20000000000005, 10.55, 0
440.6, 10.27, 0
432.0, 10.27, 0
436.59999999999997, 10.67, 0
431.4, 9.9, 0
435.79999999999995, 10.05, 0
426.0, 10.09, 0
433.8, 9.6, 0
440.0, 9.83, 0
423.0, 9.69, 0
464.6, 11.129999999999999, 0
460.0, 11.2, 0
463.40000000000003, 11.28, 0
469.6, 11.23, 0
468.2, 10.86, 0
471.2, 10.72, 0
475.19999999999993, 11.370000000000001, 0
469.0, 11.43, 0
472.0, 11.629999999999999, 0
468.0, 11.64, 0
473.0, 11.54, 0
477.40000000000003, 11.69, 0
520.0, 12.0, 1
500.79999999999995, 10.42, 1
501.2, 8.62, 1
476.0, 8.96, 1
476.0, 8.14, 1
476.0, 6.88, 1
439.20000000000005, 7.7, 1
407.59999999999997, 6.4399999999999995, 1
371.4, 6.97, 1
375.0, 9.23, 1
332.8, 8.57, 1
336.4, 7.0, 1
349.4, 4.82, 1
384.0, 5.12, 1
343.40000000000003, 6.01, 1
356.59999999999997, 6.28, 1
363.8, 5.75, 1
350.0, 5.390000000000001, 1
339.80000000000007, 5.029999999999999, 1
335.79999999999995, 5.63, 1
334.6, 6.07, 1
320.0, 6.0, 1
325.6, 5.12, 1
332.2, 7.77, 1
309.0, 6.88, 1
408.40000000000003, 4.49, 1
441.2, 4.88, 1
437.0, 5.51, 1
528.2, 8.93, 1
522.8, 8.4, 1
537.6, 8.4, 1
530.4, 7.68, 1
514.4, 7.38, 1
531.0, 6.91, 1
552.6, 7.83, 1
546.5999999999999, 7.26, 1
541.1999999999999, 6.34, 1
560.0, 6.0, 1
566.2, 7.17, 1
557.8, 6.49, 1
503.0, 6.34, 1
535.1999999999999, 5.75, 1
493.0, 5.27, 1
520.0, 6.0, 1
540.0, 6.88, 1
536.5999999999999, 6.6, 1
536.4, 7.0600000000000005, 1
529.0, 7.36, 1
524.8000000000001, 7.01, 1
528.0, 6.84, 1
530.0, 6.5, 1
531.5999999999999, 6.64, 1
547.2, 6.66, 1
557.8, 6.8100000000000005, 1
552.4, 7.24, 1
546.8, 7.62, 1
538.0, 7.51, 1
541.1999999999999, 7.26, 1
542.8, 7.12, 1
546.8, 7.0600000000000005, 1
523.8000000000001, 6.73, 1
566.8, 6.14, 1
576.2, 7.27, 1
580.0, 6.5, 1
564.0, 8.07, 1
360.0, 12.0, 1
322.40000000000003, 10.620000000000001, 1
335.4, 11.84, 1
328.40000000000003, 11.56, 1
335.79999999999995, 11.3, 1
335.79999999999995, 11.58, 1
347.59999999999997, 11.57, 1
342.2, 10.81, 1
361.59999999999997, 11.22, 1
344.6, 11.2, 1
345.19999999999993, 12.43, 1
325.79999999999995, 12.48, 1
330.0, 12.0, 1
333.2, 11.76, 1
318.2, 11.81, 1
305.0, 11.14, 1
337.2, 9.67, 1
377.0, 10.99, 1
557.4, 13.309999999999999, 1
552.8, 12.51, 1
564.4, 12.51, 1
560.0, 12.0, 1
560.0, 10.0, 1
498.6, 15.2, 1
420.0, 14.9, 1
437.8, 14.58, 1
413.8, 14.35, 1
385.79999999999995, 13.780000000000001, 1
403.8, 13.8, 1
406.2, 14.35, 1
401.2, 13.93, 1
403.6, 14.18, 1
410.20000000000005, 14.129999999999999, 1
430.0, 14.5, 1
