Chemical A Dosage (ml),Chemical B Dosage (ml),Test Success
176.32,0.10500000000000001,1
153.92000000000002,0.12525,1
177.6,0.14750000000000002,1
180.16,0.12150000000000001,1
205.12,0.133,1
207.36,0.15725,1
218.56,0.12050000000000001,1
250.88,0.13974999999999999,1
242.24,0.11750000000000001,1
181.12,0.1385,1
191.36,0.1795,1
234.88,0.1685,1
146.88,0.15625,1
215.36,0.07325,1
162.56,0.082,1
136.0,0.11374999999999999,1
99.84,0.07825,1
167.36,0.0415,1
176.32,0.10500000000000001,0
153.92000000000002,0.12525,0
177.6,0.14750000000000002,0
180.16,0.12150000000000001,0
205.12,0.133,0
207.36,0.15725,0
218.56,0.12050000000000001,0
250.88,0.13974999999999999,0
242.24,0.11750000000000001,0
181.12,0.1385,0
191.36,0.1795,0
234.88,0.1685,0
146.88,0.15625,0
215.36,0.07325,0
162.56,0.082,0
136.0,0.11374999999999999,0
99.84,0.07825,0
167.36,0.0415,0
